Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Long Statement,The length of the statement "LOG.info("Application did not finish." + " YarnState=" + state.toString() + "` DSFinalStatus="+ dsStatus.toString()+ ". Breaking monitoring loop");" is 147.,589
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Magic Number,The method contains a magic number: 1000,589
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,main,Magic Number,The method contains a magic number: 2,210
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Complex Conditional,The conditional expression !shellScriptPath.isEmpty() && (shellScriptPathTimestamp <= 0 || shellScriptPathLen <= 0) is complex.,277
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Complex Method,Cyclomatic complexity of the method is 21,277
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Statement,The length of the statement "LOG.info("Application master for app" + "` appId=" + appAttemptID.getApplicationId().getId() + "` clustertimestamp="+ appAttemptID.getApplicationId().getClusterTimestamp()+ "` attemptId="+ appAttemptID.getAttemptId());" is 218.,277
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Statement,The length of the statement "LOG.error("Illegal values in env for shell script path" + "` path=" + shellScriptPath + "` len="+ shellScriptPathLen+ "` timestamp="+ shellScriptPathTimestamp);" is 160.,277
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Empty catch clause,The method has an empty catch block.,432
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "RegisterApplicationMasterResponse response=resourceManager.registerApplicationMaster(appMasterHostname`appMasterRpcPort`appMasterTrackingUrl);" is 142.,432
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "LOG.info("Container memory specified below min threshold of cluster." + " Using min value." + "` specified=" + containerMemory + "` min="+ minMem);" is 147.,432
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "LOG.info("Container memory specified above max threshold of cluster." + " Using max value." + "` specified=" + containerMemory + "` max="+ maxMem);" is 147.,432
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Magic Number,The method contains a magic number: 1000,432
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Magic Number,The method contains a magic number: 200,432
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Long Statement,The length of the statement "appMessage="Diagnostics." + "` total=" + numTotalContainers + "` completed="+ numCompletedContainers.get()+ "` allocated="+ numAllocatedContainers.get()+ "` failed="+ numFailedContainers.get();" is 193.,503
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Magic Number,The method contains a magic number: 10000,503
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Magic Number,The method contains a magic number: 128,48
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Magic Number,The method contains a magic number: 2000,48
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShell,Long Statement,The length of the statement "String[] args={"--classpath"`classpath`"--queue"`"default"`"--cmd"`javaHome + "/bin/java -Xmx512m " + "org.apache.hadoop.yarn.applications.distributedshell.ApplicationMaster "+ "--container_memory 128 --num_containers 1 --priority 0 "+ "--shell_command "+ (Shell.WINDOWS ? "dir" : "ls")};" is 288.,97
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShell,Magic Number,The method contains a magic number: 30000,97
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShellError,Empty catch clause,The method has an empty catch block.,132
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShellError,Long Statement,The length of the statement "String[] args={"--classpath"`classpath`"--queue"`"default"`"--cmd"`javaHome + "/bin/java -Xmx512m " + "org.apache.hadoop.yarn.applications.distributedshell.ApplicationMaster "+ "--container_memory 128 --num_containers 1 --priority 0"};" is 235.,132
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShellError,Magic Number,The method contains a magic number: 30000,132
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,launchAM,Empty catch clause,The method has an empty catch block.,169
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,run,Long Statement,The length of the statement "appReport=monitorApplication(appId`EnumSet.of(YarnApplicationState.KILLED`YarnApplicationState.FAILED`YarnApplicationState.FINISHED));" is 134.,274
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,run,Long Statement,The length of the statement "LOG.info("Application did finished unsuccessfully." + " YarnState=" + appState.toString() + "` FinalStatus="+ appStatus.toString());" is 132.,274
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Complex Method,Cyclomatic complexity of the method is 8,352
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Long Statement,The length of the statement "LOG.info("Got application report from ASM for" + "` appId=" + appId.getId() + "` appAttemptId="+ report.getCurrentApplicationAttemptId()+ "` clientToken="+ report.getClientToken()+ "` appDiagnostics="+ report.getDiagnostics()+ "` appMasterHost="+ report.getHost()+ "` appQueue="+ report.getQueue()+ "` appMasterRpcPort="+ report.getRpcPort()+ "` appStartTime="+ report.getStartTime()+ "` yarnAppState="+ report.getYarnApplicationState().toString()+ "` distributedFinalState="+ report.getFinalApplicationStatus().toString()+ "` appTrackingUrl="+ report.getTrackingUrl()+ "` appUser="+ report.getUser());" is 602.,352
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Long Statement,The length of the statement "LOG.warn("Waited " + timeToWaitMS / 1000 + " seconds after process completed for AppReport" + " to reach desired final state. Not waiting anymore." + "CurrentState = " + state + "` ExpectedStates = " + expectedFinalState.toString());" is 233.,352
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Long Statement,The length of the statement "throw new RuntimeException("Failed to receive final expected state" + " in ApplicationReport" + "` CurrentState=" + state + "` ExpectedStates="+ expectedFinalState.toString());" is 176.,352
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Magic Number,The method contains a magic number: 10000,352
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Magic Number,The method contains a magic number: 1000,352
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Magic Number,The method contains a magic number: 1000,352
hadoop,org.apache.hadoop.yarn.util,ProtoUtils,convertToProtoFormat,Long Identifier,The length of the field FINAL_APPLICATION_STATUS_PREFIX is 31.,115
hadoop,org.apache.hadoop.yarn.util,ProtoUtils,convertFromProtoFormat,Long Identifier,The length of the field FINAL_APPLICATION_STATUS_PREFIX is 31.,118
hadoop,org.apache.hadoop.yarn.util,ProtoUtils,convertFromProtoFormat,Long Statement,The length of the statement "Token<T> token=new Token<T>(protoToken.getIdentifier().array()`protoToken.getPassword().array()`new Text(protoToken.getKind())`new Text(protoToken.getService()));" is 162.,201
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createFile,Long Parameter List,The method has 5 parameters. ,84
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createTarFile,Long Parameter List,The method has 5 parameters. ,124
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createJarFile,Long Parameter List,The method has 5 parameters. ,152
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createZipFile,Long Parameter List,The method has 5 parameters. ,178
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadBadPublic,Magic Number,The method contains a magic number: 10000,204
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadBadPublic,Magic Number,The method contains a magic number: 512,204
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 10000,254
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 10,254
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 10,254
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 512,254
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 512,254
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 2,254
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 0755,254
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchive,Magic Number,The method contains a magic number: 10000,324
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchive,Magic Number,The method contains a magic number: 512,324
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchive,Magic Number,The method contains a magic number: 512,324
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadPatternJar,Magic Number,The method contains a magic number: 10000,381
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadPatternJar,Magic Number,The method contains a magic number: 512,381
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadPatternJar,Magic Number,The method contains a magic number: 512,381
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchiveZip,Magic Number,The method contains a magic number: 10000,439
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchiveZip,Magic Number,The method contains a magic number: 512,439
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchiveZip,Magic Number,The method contains a magic number: 512,439
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDirDownload,Magic Number,The method contains a magic number: 10000,528
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDirDownload,Magic Number,The method contains a magic number: 5,528
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDirDownload,Magic Number,The method contains a magic number: 2,528
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testUniqueDestinationPath,Magic Number,The method contains a magic number: 1000,592
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Complex Method,Cyclomatic complexity of the method is 8,42
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` init() call sequence number should have been "`i`services[i].getCallSequenceNumber());" is 133.,42
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` start() call sequence number should have been "`i`services[i].getCallSequenceNumber());" is 134.,42
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` stop() call sequence number should have been "`((NUM_OF_SERVICES - 1) - i)`services[i].getCallSequenceNumber());" is 159.,42
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` stop() call sequence number should have been "`((NUM_OF_SERVICES - 1) - i)`services[i].getCallSequenceNumber());" is 159.,42
hadoop,org.apache.hadoop.yarn.util,TestYarnVersionInfo,testVersionInfoGenerated,Long Statement,The length of the statement "assertTrue("getBuildVersion check doesn't contain: source checksum"`YarnVersionInfo.getBuildVersion().contains("source checksum"));" is 131.,32
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testParseSystemInfoString,Magic Number,The method contains a magic number: 30000,35
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testParseSystemInfoString,Magic Number,The method contains a magic number: 17177038848L,35
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testParseSystemInfoString,Magic Number,The method contains a magic number: 8589467648L,35
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testParseSystemInfoString,Magic Number,The method contains a magic number: 15232745472L,35
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testParseSystemInfoString,Magic Number,The method contains a magic number: 6400417792L,35
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testParseSystemInfoString,Magic Number,The method contains a magic number: 2805000L,35
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testParseSystemInfoString,Magic Number,The method contains a magic number: 6261812L,35
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testRefreshAndCpuUsage,Magic Number,The method contains a magic number: 20000,53
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testRefreshAndCpuUsage,Magic Number,The method contains a magic number: 6400417792L,53
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testRefreshAndCpuUsage,Magic Number,The method contains a magic number: 6400417792L,53
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testRefreshAndCpuUsage,Magic Number,The method contains a magic number: 1500,53
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testRefreshAndCpuUsage,Magic Number,The method contains a magic number: 5400417792L,53
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testRefreshAndCpuUsage,Magic Number,The method contains a magic number: 0.1,53
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,testErrorInGetSystemInfo,Magic Number,The method contains a magic number: 20000,77
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,getRogueTaskPID,Magic Number,The method contains a magic number: 500,90
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Complex Method,Cyclomatic complexity of the method is 8,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Long Statement,The length of the statement "fWriter.write("# rogue task\n" + "sleep 1\n" + "echo hello\n"+ "if [ $1 -ne 0 ]\n"+ "then\n"+ " sh " + shellScript + " $(($1-1))\n"+ "else\n"+ " echo $$ > "+ lowestDescendant+ "\n"+ " while true\n do\n"+ " sleep 5\n"+ " done\n"+ "fi");" is 235.,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Long Statement,The length of the statement "Assert.assertTrue("Process-tree dump doesn't start with a proper header"`processTreeDump.startsWith("\t|- PID PPID PGRPID SESSID CMD_NAME " + "USER_MODE_TIME(MILLIS) SYSTEM_TIME(MILLIS) VMEM_USAGE(BYTES) " + "RSSMEM_USAGE(PAGES) FULL_CMD_LINE\n"));" is 248.,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Long Statement,The length of the statement "String cmdLineDump="\\|- [0-9]+ [0-9]+ [0-9]+ [0-9]+ \\(sh\\)" + " [0-9]+ [0-9]+ [0-9]+ [0-9]+ sh " + shellScript + " "+ i;" is 123.,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Long Statement,The length of the statement "Assert.assertTrue("Cumulative vmem for the gone-process is " + p.getCumulativeVmem() + " . It should be zero."`p.getCumulativeVmem() == 0);" is 139.,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Magic Number,The method contains a magic number: 30000,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Magic Number,The method contains a magic number: 500,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Magic Number,The method contains a magic number: 100,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Magic Number,The method contains a magic number: 100,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTree,Magic Number,The method contains a magic number: 2000,110
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,destroyProcessTree,Magic Number,The method contains a magic number: 9,248
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Long Statement,The length of the statement "long cumuCpuTime=ProcfsBasedProcessTree.JIFFY_LENGTH_IN_MILLIS > 0 ? 7200L * ProcfsBasedProcessTree.JIFFY_LENGTH_IN_MILLIS : 0L;" is 128.,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Long Statement,The length of the statement "cumuCpuTime=ProcfsBasedProcessTree.JIFFY_LENGTH_IN_MILLIS > 0 ? 9400L * ProcfsBasedProcessTree.JIFFY_LENGTH_IN_MILLIS : 0L;" is 123.,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 30000,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 4,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 2,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 3,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 600000L,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 600L,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 7200L,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testCpuAndMemoryForProcessTree,Magic Number,The method contains a magic number: 9400L,340
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Long Statement,The length of the statement "Assert.assertEquals("Cumulative rssmem shouldn't have included new process"`cumuRssMem`processTree.getCumulativeRssmem(1));" is 123.,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Long Statement,The length of the statement "Assert.assertEquals("Cumulative rssmem shouldn't have included new processes"`cumuRssMem`processTree.getCumulativeRssmem(2));" is 125.,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Long Statement,The length of the statement "Assert.assertEquals("Cumulative rssmem shouldn't have included new processes"`cumuRssMem`processTree.getCumulativeRssmem(1));" is 125.,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Long Statement,The length of the statement "Assert.assertEquals("Getting non-zero rssmem for processes older than 3 iterations"`0L`processTree.getCumulativeRssmem(3));" is 123.,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 30000,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 4,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 2,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 3,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 700000L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 1200000L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 1200L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 700000L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 700L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 700000L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 2,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 700L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 2,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 1200000L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 1200L,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 3,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testMemForOlderProcesses,Magic Number,The method contains a magic number: 3,415
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testDestroyProcessTree,Magic Number,The method contains a magic number: 30000,521
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTreeDump,Long Statement,The length of the statement "Assert.assertTrue("Process-tree dump doesn't start with a proper header"`processTreeDump.startsWith("\t|- PID PPID PGRPID SESSID CMD_NAME " + "USER_MODE_TIME(MILLIS) SYSTEM_TIME(MILLIS) VMEM_USAGE(BYTES) " + "RSSMEM_USAGE(PAGES) FULL_CMD_LINE\n"));" is 248.,549
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTreeDump,Long Statement,The length of the statement "Assert.assertTrue("Process-tree dump doesn't contain the cmdLineDump of process " + p.pid`processTreeDump.contains("\t|- " + p.pid + " "+ p.ppid+ " "+ p.pgrpId+ " "+ p.session+ " ("+ p.name+ ") "+ p.utime+ " "+ p.stime+ " "+ p.vmem+ " "+ p.rssmemPage+ " "+ cmdLines[i]));" is 271.,549
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTreeDump,Long Statement,The length of the statement "Assert.assertFalse("Process-tree dump shouldn't contain the cmdLineDump of process " + p.pid`processTreeDump.contains("\t|- " + p.pid + " "+ p.ppid+ " "+ p.pgrpId+ " "+ p.session+ " ("+ p.name+ ") "+ p.utime+ " "+ p.stime+ " "+ p.vmem+ " "+ cmdLines[5]));" is 255.,549
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTreeDump,Magic Number,The method contains a magic number: 30000,549
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTreeDump,Magic Number,The method contains a magic number: 2,549
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTreeDump,Magic Number,The method contains a magic number: 3,549
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree,testProcessTreeDump,Magic Number,The method contains a magic number: 4,549
